intersection_id,time_bin,vehicle_count,avg_speed,congestion_score,current_green,fuzzy_delta,suggested_green_fuzzy
"(('7116487491', 0, 430.70309163965845, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1734.4530916396582, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1969.833091639658, 'r'))",2025-09-09 00:13:20,1,69.86,0.0,10.0,0.0,10.0
"(('7116487491', 0, 438.3537973778723, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1742.103797377872, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1977.4837973778722, 'y'), ('cluster_3681802616_8393114933', 4, 2167.233797377872, 'y'))",2025-09-09 00:13:20,1,70.95,0.0,10.0,0.0,10.0
"(('7116487491', 0, 439.9573649447001, 'r'),)",2025-09-09 00:13:10,1,60.29,0.0,20.0,0.0,20.0
"(('7116487491', 0, 450.10856550633514, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1753.8585655063348, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1989.238565506335, 'r'))",2025-09-09 00:13:20,1,66.72,0.0,10.0,0.0,10.0
"(('7116487491', 0, 456.7044194473099, 'r'),)",2025-09-09 00:13:10,1,59.48,0.0,20.0,0.0,20.0
"(('7116487491', 0, 458.0634893259435, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1761.8134893259432, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1997.1934893259431, 'y'), ('cluster_3681802616_8393114933', 4, 2186.943489325943, 'y'))",2025-09-09 00:13:20,1,67.37,0.0,10.0,0.0,10.0
"(('7116487491', 0, 468.6408522025547, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1772.3908522025545, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 2007.7708522025546, 'r'))",2025-09-09 00:13:20,1,66.59,0.0,10.0,0.0,10.0
"(('7116487491', 0, 473.2259042257445, 'r'),)",2025-09-09 00:13:10,1,63.22,0.0,20.0,0.0,20.0
"(('7116487491', 0, 476.778446564398, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1780.5284465643977, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 2015.9084465643978, 'G'), ('cluster_3681802616_8393114933', 4, 2205.6584465643978, 'G'))",2025-09-09 00:13:20,1,68.2,0.0,10.0,0.0,10.0
"(('7116487491', 0, 487.1370691616091, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1790.887069161609, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 2026.267069161609, 'r'))",2025-09-09 00:13:20,1,66.98,0.0,10.0,0.0,10.0
